id,地点21_mean,地点213_count,地点72_sum,地点283_sum,地点1733_count,地点118_sum,地点277_sum,地点232_count,地点2008_min,地点69_count,地点465_min,地点232_mean,地点179_sum,地点1113_sum,地点1155_count,地点879_count,地点972_sum,地点72_count,地点86_count,地点1760_min,地点241_median,地点282_mean,地点270_sum,地点118_max,地点585_sum,地点65_max,地点263_mean,地点1708_max,地点956_mean,地点664_max,地点550_mean,地点915_mean
0,4.48404255319,1.0,0.0,14.1,0.0,0.0,0.0,34.0,0.0,2.0,0.0,8.33235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.94575757576,0.0,0.0,0.0,0.0,16.2,20.2,12.0,0.0,0.0,0.0,3.04166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.6171686747,6.0,23.5,0.0,0.0,20.9,0.0,9.0,0.0,0.0,0.0,6.71777777778,1.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
7,4.66381974249,9.0,323.23,0.0,0.0,3.0,0.0,28.0,0.0,12.0,0.0,4.09285714286,13.8,0.0,6.0,0.0,13.2,63.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
8,3.72497695853,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,6.14523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.52845272206,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,8.51838565022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.17710743802,1.0,9.4,4.4,0.0,48.4,0.0,27.0,0.0,2.0,0.0,7.62222222222,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.4,0.0,0.0,4.5,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
11,2.96508038585,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,5.46557377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5.08548387097,6.0,4.6,0.0,0.0,76.0,27.6,19.0,0.0,0.0,0.0,3.06842105263,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,4.6,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0
