studentid,prob_0,prob_1000,prob_1500,prob_2000
6,0.422534584999,0.169318214059,0.188090279698,0.220056891441
7,0.549709260464,0.0442817024887,0.228284880519,0.177724212408
12,0.971580982208,0.0117027722299,0.00734467757866,0.009371525608
13,0.996574938297,0.00201887846924,0.000731393694878,0.000674709968735
14,0.998272776604,0.000783698575106,0.000205039410503,0.000738478847779
24,0.236957266927,0.383736014366,0.255162298679,0.124144390225
25,0.99684625864,0.00161759741604,0.000646054628305,0.000890045659617
26,0.996990442276,0.0015664328821,0.00043566498789,0.0010074460879
27,0.499411791563,0.261241018772,0.158617794514,0.0807294249535
30,0.569618582726,0.36771735549,0.0296416226774,0.0330224074423
31,0.992002367973,0.0046259383671,0.00151346914936,0.00185818702448
40,0.13991625607,0.391166865826,0.225604251027,0.243312567472
41,0.393499523401,0.35362419486,0.187806338072,0.0650699138641
42,0.23179922998,0.445116370916,0.210915476084,0.112168900669
43,0.996420621872,0.00249334843829,0.000355312949978,0.000730763771571
44,0.112155199051,0.549231350422,0.20704588294,0.131567552686
45,0.988567352295,0.00378877972253,0.00303754326887,0.00460632704198
50,0.989167332649,0.00469920085743,0.00265206745826,0.00348138739355
51,0.306453466415,0.342363029718,0.2786218822,0.0725615918636
52,0.975936233997,0.0114004090428,0.00678787147626,0.00587555067614
53,0.854997694492,0.0132324006408,0.0791709795594,0.052598901093
54,0.996975660324,0.0012434219243,0.000418812531279,0.00136205379386
55,0.153008446097,0.400550097227,0.234310626984,0.212130844593
58,0.676412582397,0.190788075328,0.0667796954513,0.0660196244717
59,0.178108632565,0.352011144161,0.285916388035,0.183963820338
68,0.562012851238,0.361143499613,0.0626588389277,0.0141847841442
69,0.998513877392,0.000859232852235,0.000196068605874,0.000430819607573
78,0.615417480469,0.217312261462,0.130937322974,0.0363329090178
79,0.526477098465,0.281223297119,0.102410472929,0.0898891165853
80,0.988753080368,0.00409770058468,0.00434497185051,0.00280422531068
81,0.797073304653,0.051787391305,0.0907739922404,0.0603653788567
84,0.959819555283,0.0170567948371,0.0135884722695,0.00953513849527
85,0.431784003973,0.2950976789,0.173904582858,0.0992137566209
86,0.997238993645,0.000643680104986,0.00161556864623,0.000501730421092
87,0.998207807541,0.000975475879386,0.000166183759575,0.000650518515613
